dataset,layer_name,cosine_similarity,type
Cars,11_mlp_c_proj,0.9723662734031677,cross
Cars,11_mlp_c_proj,0.21757465600967407,corr
Cars,1_mlp_c_fc,0.9591730237007141,cross
Cars,1_mlp_c_fc,0.46666428446769714,corr
Cars,0_attn_q,0.2402515560388565,cross
Cars,0_attn_q,0.6682844161987305,corr
Cars,8_attn_o,0.952065646648407,cross
Cars,8_attn_o,0.9117403030395508,corr
Cars,3_attn_v,0.991161584854126,cross
Cars,3_attn_v,0.5239155292510986,corr
Cars,5_attn_q,0.8310381174087524,cross
Cars,5_attn_q,0.8286346793174744,corr
Cars,10_attn_k,0.9073002934455872,cross
Cars,10_attn_k,0.6190643310546875,corr
Cars,6_mlp_c_proj,0.9633387327194214,cross
Cars,6_mlp_c_proj,0.5666791796684265,corr
DTD,11_mlp_c_proj,0.9755094051361084,cross
DTD,11_mlp_c_proj,0.300388365983963,corr
DTD,1_mlp_c_fc,0.9697569608688354,cross
DTD,1_mlp_c_fc,0.4623749554157257,corr
DTD,0_attn_q,0.5908755660057068,cross
DTD,0_attn_q,0.6761643886566162,corr
DTD,8_attn_o,0.931829571723938,cross
DTD,8_attn_o,0.9650973081588745,corr
DTD,3_attn_v,0.9851013422012329,cross
DTD,3_attn_v,0.5516926646232605,corr
DTD,5_attn_q,0.6798660755157471,cross
DTD,5_attn_q,0.7166112661361694,corr
DTD,10_attn_k,0.9069990515708923,cross
DTD,10_attn_k,0.8059112429618835,corr
DTD,6_mlp_c_proj,0.9415177702903748,cross
DTD,6_mlp_c_proj,0.764598548412323,corr
EuroSAT,11_mlp_c_proj,0.8619198203086853,cross
EuroSAT,11_mlp_c_proj,0.22521395981311798,corr
EuroSAT,1_mlp_c_fc,0.9470098614692688,cross
EuroSAT,1_mlp_c_fc,0.905049741268158,corr
EuroSAT,0_attn_q,0.9018956422805786,cross
EuroSAT,0_attn_q,0.8403713703155518,corr
EuroSAT,8_attn_o,0.7055554986000061,cross
EuroSAT,8_attn_o,0.9640036225318909,corr
EuroSAT,3_attn_v,0.924482524394989,cross
EuroSAT,3_attn_v,0.6607089638710022,corr
EuroSAT,5_attn_q,0.7575978636741638,cross
EuroSAT,5_attn_q,0.8582046627998352,corr
EuroSAT,10_attn_k,0.9055953025817871,cross
EuroSAT,10_attn_k,0.7569361925125122,corr
EuroSAT,6_mlp_c_proj,0.8078193068504333,cross
EuroSAT,6_mlp_c_proj,0.6669928431510925,corr
GTSRB,11_mlp_c_proj,0.9557243585586548,cross
GTSRB,11_mlp_c_proj,0.28240567445755005,corr
GTSRB,1_mlp_c_fc,0.9458693861961365,cross
GTSRB,1_mlp_c_fc,0.8529866933822632,corr
GTSRB,0_attn_q,0.7662693858146667,cross
GTSRB,0_attn_q,0.7993725538253784,corr
GTSRB,8_attn_o,0.7941411733627319,cross
GTSRB,8_attn_o,0.6725342273712158,corr
GTSRB,3_attn_v,0.951553225517273,cross
GTSRB,3_attn_v,0.670020341873169,corr
GTSRB,5_attn_q,0.8298592567443848,cross
GTSRB,5_attn_q,0.5794283151626587,corr
GTSRB,10_attn_k,0.8392857313156128,cross
GTSRB,10_attn_k,0.6208944916725159,corr
GTSRB,6_mlp_c_proj,0.9081101417541504,cross
GTSRB,6_mlp_c_proj,0.5996603965759277,corr
MNIST,11_mlp_c_proj,0.9561881422996521,cross
MNIST,11_mlp_c_proj,0.2976560890674591,corr
MNIST,1_mlp_c_fc,0.7491428852081299,cross
MNIST,1_mlp_c_fc,0.5498592853546143,corr
MNIST,0_attn_q,0.5995191335678101,cross
MNIST,0_attn_q,0.6475329995155334,corr
MNIST,8_attn_o,0.4760819375514984,cross
MNIST,8_attn_o,0.6895264387130737,corr
MNIST,3_attn_v,0.47221964597702026,cross
MNIST,3_attn_v,0.5228667855262756,corr
MNIST,5_attn_q,0.44872090220451355,cross
MNIST,5_attn_q,0.361653596162796,corr
MNIST,10_attn_k,0.7666427493095398,cross
MNIST,10_attn_k,0.34733253717422485,corr
MNIST,6_mlp_c_proj,0.47856172919273376,cross
MNIST,6_mlp_c_proj,0.32532593607902527,corr
RESISC45,11_mlp_c_proj,0.9192396402359009,cross
RESISC45,11_mlp_c_proj,0.18620990216732025,corr
RESISC45,1_mlp_c_fc,0.9838065505027771,cross
RESISC45,1_mlp_c_fc,0.5872576236724854,corr
RESISC45,0_attn_q,0.6203657984733582,cross
RESISC45,0_attn_q,0.7268626093864441,corr
RESISC45,8_attn_o,0.9184753894805908,cross
RESISC45,8_attn_o,0.9499492645263672,corr
RESISC45,3_attn_v,0.9770419001579285,cross
RESISC45,3_attn_v,0.531846284866333,corr
RESISC45,5_attn_q,0.6653255224227905,cross
RESISC45,5_attn_q,0.8192189335823059,corr
RESISC45,10_attn_k,0.8715507984161377,cross
RESISC45,10_attn_k,0.7642086148262024,corr
RESISC45,6_mlp_c_proj,0.9005880951881409,cross
RESISC45,6_mlp_c_proj,0.7219197154045105,corr
SUN397,11_mlp_c_proj,0.9813352823257446,cross
SUN397,11_mlp_c_proj,0.17516687512397766,corr
SUN397,1_mlp_c_fc,0.9677981734275818,cross
SUN397,1_mlp_c_fc,0.38352900743484497,corr
SUN397,0_attn_q,0.32535868883132935,cross
SUN397,0_attn_q,0.6843488216400146,corr
SUN397,8_attn_o,0.9008052349090576,cross
SUN397,8_attn_o,0.8842131495475769,corr
SUN397,3_attn_v,0.9924283623695374,cross
SUN397,3_attn_v,0.5317742228507996,corr
SUN397,5_attn_q,0.7405838370323181,cross
SUN397,5_attn_q,0.7964761257171631,corr
SUN397,10_attn_k,0.9295132160186768,cross
SUN397,10_attn_k,0.7746541500091553,corr
SUN397,6_mlp_c_proj,0.9241304993629456,cross
SUN397,6_mlp_c_proj,0.7124284505844116,corr
SVHN,11_mlp_c_proj,0.8074638247489929,cross
SVHN,11_mlp_c_proj,0.40739360451698303,corr
SVHN,1_mlp_c_fc,0.8924912214279175,cross
SVHN,1_mlp_c_fc,0.9535324573516846,corr
SVHN,0_attn_q,0.7394896149635315,cross
SVHN,0_attn_q,0.8890493512153625,corr
SVHN,8_attn_o,0.8340985178947449,cross
SVHN,8_attn_o,0.8116110563278198,corr
SVHN,3_attn_v,0.799536943435669,cross
SVHN,3_attn_v,0.8777141571044922,corr
SVHN,5_attn_q,0.8190270066261292,cross
SVHN,5_attn_q,0.8112955093383789,corr
SVHN,10_attn_k,0.7261044383049011,cross
SVHN,10_attn_k,0.6036918759346008,corr
SVHN,6_mlp_c_proj,0.8656874895095825,cross
SVHN,6_mlp_c_proj,0.5736978054046631,corr
