subset_id,method,task,size,retained,zs,relres
m4_00,mean,CIFAR100,4,0.872443245673185,0.642,0.4967613379225243
m4_00,mean,Flowers102,4,0.807122198120029,0.6631972678484307,0.5382768512086674
m4_00,mean,MNIST,4,0.9385973713253737,0.4825,0.545687212079087
m4_00,mean,OxfordIIITPet,4,0.9883997620464009,0.8743526846552194,0.536964108904332
m4_02,mean,FER2013,4,0.8276391554702494,0.492059069378657,0.547338551169788
m4_02,mean,KMNIST,4,0.3863336379327851,0.0977,0.5552127273671956
m4_02,mean,RESISC45,4,0.8459244532803181,0.6022222222222222,0.5550993332442304
m4_02,mean,RenderedSST2,4,0.9155653450807636,0.585941790225151,0.5587365412543144
m4_01,mean,Food101,4,0.9536958558237052,0.8272079207920792,0.5640724656246696
m4_01,mean,MNIST,4,0.9465235276412161,0.4825,0.5525162860972161
m4_01,mean,RESISC45,4,0.8556991385023194,0.6022222222222222,0.5444903651217115
m4_01,mean,RenderedSST2,4,0.919970631424376,0.585941790225151,0.5657239210386112
m4_03,mean,DTD,4,0.7350948509485096,0.4441489361702128,0.561997057662147
m4_03,mean,EMNIST,4,0.8497482023400897,0.171975,0.5238786853164087
m4_03,mean,Food101,4,0.9333095418655484,0.8272079207920792,0.5641951561803834
m4_03,mean,SVHN,4,0.7647290795804086,0.3160725261216964,0.525499816760867
m4_10,mean,CIFAR10,4,0.967863701285452,0.8983,0.4933687062629099
m4_10,mean,FashionMNIST,4,0.8625498007968128,0.6302,0.5226311937822764
m4_10,mean,GTSRB,4,0.7061785628646791,0.32557403008709423,0.5323779578093294
m4_10,mean,RESISC45,4,0.809973492379059,0.6022222222222222,0.5401774838089695
m4_06,mean,DTD,4,0.7411924119241193,0.4441489361702128,0.519080817480992
m4_06,mean,KMNIST,4,0.3915118286120418,0.0977,0.5593267356226634
m4_06,mean,RESISC45,4,0.8300198807157056,0.6022222222222222,0.5207003469717625
m4_06,mean,STL10,4,0.9993619193466055,0.97125,0.5216351248001712
m4_07,mean,FER2013,4,0.8264875239923224,0.492059069378657,0.5473137601010122
m4_07,mean,GTSRB,4,0.7273599232675246,0.32557403008709423,0.5330228842109305
m4_07,mean,OxfordIIITPet,4,0.9872099940511601,0.8743526846552194,0.5633966801832695
