task,zs_acc,zs_over_expert,tv_norm,tv_cos,expert_acc,cov_align_hat,relres_actmat_hat,relres_mean_hat,relres_regmean_hat,cov_align_real,relres_actmat_real,relres_mean_real,relres_regmean_real,retained_ace,merged_ace,retained_actmat,merged_actmat,retained_actmat_gd,merged_actmat_gd,retained_isoc,merged_isoc,retained_mean,merged_mean,retained_regmean,merged_regmean,retained_sum04,merged_sum04,retained_ties,merged_ties,retained_tsv,merged_tsv,retained_wudi,merged_wudi
CIFAR10,0.8983,0.916445623342175,2.417001872187776,0.04156849948505186,0.9802,0.2987708271302729,0.30565367798609433,0.7395224125388579,0.789243063350801,0.5062009091271163,2.267406978072704,0.8710534629966371,0.541306424086183,0.9482758620689655,0.9295,0.9350132625994695,0.9165,0.9485819220567231,0.9298,0.9617425015302999,0.9427,0.9437869822485208,0.9251,0.9511324219547032,0.9323,0.4180779432768823,0.4098,0.8931850642725974,0.8755,0.9476637420934503,0.9289,0.890940624362375,0.8733
CIFAR100,0.642,0.7215104517869184,2.713494246734191,0.04099207289359373,0.8898,0.31979182489592123,0.32939116777953675,0.7162592816783034,0.7915284392638876,0.5281534413017376,1.8747403187752296,0.8706938655211712,0.5550257380737144,0.7626432906271071,0.6786,0.7227466846482355,0.6431,0.7630928298494044,0.679,0.781411553158013,0.6953,0.7762418521015958,0.6907,0.7859069453809845,0.6993,0.16149696561024948,0.1437,0.5984490896830748,0.5325,0.7425264104293099,0.6607,0.5227017307260058,0.4651
Cars,0.5964432284541724,0.7546813532651456,2.7895780502260523,0.020180028329666453,0.7903245864942171,0.24152597311846039,0.17971294370090563,0.841359304748291,0.6856442496659327,0.4560588292399019,1.2261138013578636,0.9049490803809087,0.3462975015010108,0.7716758457907159,0.6098743937321228,0.7317073170731707,0.5782862828006466,0.7529504327301337,0.5950752393980848,0.538630999213218,0.4256933217261535,0.7466561762391818,0.5901007337395846,0.7677419354838709,0.6067653276955602,0.041384736428009446,0.03270737470463873,0.4752163650668765,0.3755751772167641,0.6256490952006294,0.4944658624549185,0.3126671911880409,0.24710856858599678
DTD,0.4441489361702128,0.5657181571815718,2.415174987922898,0.023318228032736005,0.7851063829787234,0.2600594760757484,0.3195591230054064,0.7757278415268813,0.8060948065514205,0.44330209352577116,1.5756627766760571,0.9047052226788658,0.4008812378092808,0.7804878048780488,0.6127659574468085,0.7737127371273712,0.6074468085106383,0.7594850948509485,0.5962765957446808,0.7479674796747967,0.5872340425531914,0.5826558265582656,0.4574468085106383,0.7296747967479675,0.5728723404255319,0.18699186991869918,0.14680851063829786,0.5257452574525745,0.4127659574468085,0.7601626016260163,0.5968085106382979,0.4437669376693767,0.3484042553191489
EMNIST,0.171975,0.17234986094756094,2.9772458474782293,0.03882032564414598,0.997825,0.22102120981894824,0.0717706786141199,0.8233693304957909,0.50310387198453,0.3761174199116901,0.8556506797021373,0.8803452680128288,0.16335875336341488,0.9853681757823266,0.983225,0.984541377496054,0.9824,0.9847919224312881,0.98265,0.885576128078571,0.88365,0.32089795304787916,0.3202,0.92285721444141,0.92085,0.4475734723022574,0.4466,0.6867687219702854,0.685275,0.9652995264700724,0.9632,0.9586350311928444,0.95655
EuroSAT,0.45444444444444443,0.4602400600150037,2.2522424196094972,0.02818835307738625,0.9874074074074074,0.22274146748540588,0.21266933018242312,0.8104931882868008,0.6269931986899745,0.3979602491238688,1.30417986183902,0.903167638513583,0.22289756310331982,0.8390847711927982,0.8285185185185185,0.7824456114028507,0.7725925925925926,0.8477119279819955,0.837037037037037,0.8038259564891223,0.7937037037037037,0.5596399099774945,0.5525925925925926,0.8807201800450113,0.8696296296296296,0.27231807951987996,0.2688888888888889,0.5011252813203301,0.4948148148148148,0.8559639909977494,0.8451851851851852,0.699549887471868,0.6907407407407408
FER2013,0.492059069378657,0.6779270633397313,2.752982177315159,0.027633475081034385,0.7258289217052104,0.2503082716772169,0.25314092759190987,0.8286987971795996,0.7413504083729326,0.40285692545476404,1.3247372580044647,0.8877228832457619,0.3357116071537631,0.8522072936660269,0.6185567010309279,0.8422264875239923,0.6113123432711062,0.855662188099808,0.6210643633324046,0.8188099808061421,0.5943159654499861,0.7124760076775432,0.5171356923934244,0.8107485604606526,0.588464753413207,0.42840690978886753,0.31095012538311506,0.7190019193857965,0.5218723878517693,0.8464491362763915,0.6143772638617999,0.7109404990403071,0.5160211758149903
FashionMNIST,0.6302,0.6607255189767247,2.4183966207247134,0.030992948477247026,0.9538,0.24187422932972533,0.224985535681814,0.8094354032578043,0.6637988076284468,0.4061102632348758,1.3701217034408342,0.8928909984564264,0.23266980567916873,0.886559027049696,0.8456,0.8904382470119523,0.8493,0.8870832459635143,0.8461,0.8709373034179073,0.8307,0.7415600754875237,0.7073,0.8715663661144895,0.8313,0.6615642692388342,0.631,0.7909414971692178,0.7544,0.9072132522541413,0.8653,0.8411616691130216,0.8023
Flowers102,0.6631972678484307,0.7371655820679683,1.600884477797292,0.023621307782692957,0.8996584810538298,0.25664400608259746,0.4702082948491586,0.7748623097689655,0.8107047726722261,0.41760916414749616,1.9583967103415465,0.9228176475103274,0.31904756573283927,0.7393347794649314,0.6651488046836884,0.7124005784526393,0.6409172223125712,0.7272234273318873,0.6542527240201659,0.7566883586406364,0.6807610993657506,0.7393347794649314,0.6651488046836884,0.8226681127982647,0.7401203447715076,0.10213304410701374,0.09188485932671979,0.5361532899493854,0.4823548544478777,0.7584960231381056,0.6823873800617987,0.1941431670281996,0.17466254675557003
Food101,0.8272079207920792,0.9317482267921666,2.6183393029171054,0.02254804027069333,0.8878019801980198,0.2600602028048625,0.4400293699341388,0.8068123302844445,0.8545950803991039,0.4416852134657065,1.2744970001842177,0.9068064159565258,0.3350740755066433,0.9019048043895258,0.8007128712871288,0.8386938484186108,0.7445940594059406,0.8857563456305483,0.7863762376237624,0.8083151179908105,0.7176237623762376,0.9123879198822323,0.8100198019801981,0.9352723379577998,0.8303366336633663,0.062095730918499355,0.05512871287128713,0.6036044073694071,0.5358811881188119,0.8396752464647366,0.7454653465346535,0.35009144845429807,0.3108118811881188
