task,zs_acc,zs_over_expert,tv_norm,tv_cos,expert_acc,cov_align_hat,relres_actmat_hat,relres_mean_hat,relres_regmean_hat,cov_align_real,relres_actmat_real,relres_mean_real,relres_regmean_real,retained_ace,merged_ace,retained_actmat,merged_actmat,retained_actmat_gd,merged_actmat_gd,retained_isoc,merged_isoc,retained_mean,merged_mean,retained_regmean,merged_regmean,retained_sum04,merged_sum04,retained_ties,merged_ties,retained_tsv,merged_tsv,retained_wudi,merged_wudi
CIFAR10,0.9557,0.9633101501864731,3.9394549207631275,0.030162288101771153,0.9921,0.3060355261407319,0.29654293505363577,0.7482736295453453,0.9316500519331373,0.5662537334712865,3.3701646799099354,0.8465132680032625,0.4057326363339093,0.9899203709303498,0.9821,0.9879044451164197,0.9801,0.9896179820582602,0.9818,0.9891140006047777,0.9813,0.9790343715351276,0.9713,0.9891140006047777,0.9813,0.7770386049793369,0.7709,0.9678459832678158,0.9602,0.9876020562443303,0.9798,0.9707690756980143,0.9631
CIFAR100,0.7582,0.8144806101622086,4.486863761964963,0.02732295596059391,0.9309,0.31868437342059786,0.30112556640113,0.7740071158822989,0.9123298536896643,0.5936124462944766,2.9308885771419626,0.8601411495996788,0.46024292137578404,0.9095498979482222,0.8467,0.9067569019228704,0.8441,0.9142765066065098,0.8511,0.9209367278977334,0.8573,0.8898915028467076,0.8284,0.9041787517456226,0.8417,0.4282951981952949,0.3987,0.8140509184660008,0.7578,0.8927919217961113,0.8311,0.8135138038457407,0.7573
Cars,0.7793806740455167,0.8434724091520861,4.3928029722418565,0.01301083179902948,0.9240144260664096,0.23747397291358988,0.25607189854769025,0.8671368925670351,0.8500933487662976,0.54474649195592,2.8559742621597004,0.9092049561989191,0.3943191645468382,0.9160161507402423,0.8464121377938068,0.9096904441453567,0.840567093645069,0.9176312247644683,0.8479044894913568,0.8091520861372814,0.7476682004725781,0.8507402422611037,0.786096256684492,0.9072678331090176,0.838328566098744,0.21561238223418575,0.19922895162293247,0.7226110363391656,0.6677030220121876,0.8701211305518171,0.8040044770550927,0.7818304172274563,0.7224225842556896
DTD,0.5537234042553192,0.6543054682589566,3.7714355328289884,0.014650418985588096,0.8462765957446808,0.26151155272555915,0.42888787662584466,0.8541339296107365,0.9855558119490424,0.5543434504325616,3.9479230578029436,0.9093405459079704,0.4959581808333347,0.8962916404776871,0.7585106382978724,0.8768070395977373,0.7420212765957447,0.8654934003771213,0.7324468085106383,0.8780641106222502,0.7430851063829788,0.6913890634820867,0.5851063829787234,0.7862979258328096,0.6654255319148936,0.3236957888120679,0.27393617021276595,0.6675047140163419,0.5648936170212766,0.8504085480829667,0.7196808510638298,0.7900691389063482,0.6686170212765957
EMNIST,0.15635,0.1566554781824558,4.67033622511692,0.03664898421518424,0.99805,0.24009703406645397,0.10257014649712419,0.8020918067242623,0.6040393535969666,0.490766928082588,1.568232226389597,0.8587104299461424,0.16407809496168946,0.9955663543910626,0.993625,0.9955914032363109,0.99365,0.9950653774860979,0.993125,0.9536345874455188,0.951775,0.35331396222634137,0.352625,0.9696407995591403,0.96775,0.5845899504032864,0.58345,0.8765342417714543,0.874825,0.9892790942337558,0.98735,0.9885276288763089,0.9866
EuroSAT,0.6370370370370371,0.6425102726933134,3.743536650707296,0.02393128982516038,0.9914814814814815,0.24924431484341023,0.2114423381357928,0.7781859864113585,0.791265305767351,0.495756046174568,2.5656438045430696,0.8789364512145731,0.27168940263491265,0.9816959282779231,0.9733333333333334,0.9742248785954427,0.965925925925926,0.9816959282779231,0.9733333333333334,0.961150541651102,0.952962962962963,0.7937990287635412,0.7870370370370371,0.9686215913335823,0.9603703703703703,0.3612252521479268,0.35814814814814816,0.6921927530818079,0.6862962962962963,0.9660067239447141,0.9577777777777777,0.8423608516996637,0.8351851851851851
FER2013,0.5522429646140986,0.7186366932559826,4.756069209661084,0.02021145603249273,0.7684591808303148,0.25065652710233804,0.2215162251676711,0.8321039160294484,0.8093541831406612,0.49099712978098103,2.2763974302382324,0.8788723856929502,0.3142444647173979,0.9615663524292966,0.738924491501811,0.9583031182015954,0.7364168292003344,0.9608411892675852,0.738367233212594,0.9314720812182741,0.7157982724993034,0.7563451776649747,0.5812203956533853,0.8524292965917333,0.6550571189746448,0.5779550398839739,0.44413485650599055,0.7828136330674402,0.6015603232098078,0.9336475707034083,0.7174700473669546,0.8901377810007252,0.6840345500139314
FashionMNIST,0.6694,0.6986015445627217,4.0719856037860165,0.02577023035237757,0.9582,0.2523423172640737,0.22978670421868613,0.821022158607583,0.7485341929470045,0.5196408726797814,2.5800505443226225,0.8820756009184282,0.2758323829424074,0.9498017115424754,0.9101,0.9367564182842829,0.8976,0.9423919849718222,0.903,0.9423919849718222,0.903,0.7970152369025256,0.7637,0.9148403256105198,0.8766,0.7018367772907534,0.6725,0.8639115007305364,0.8278,0.9426007096639532,0.9032,0.9281987059069087,0.8894
Flowers102,0.7916734428362335,0.8085035708354094,0.6014572641892206,0.017031545589516334,0.9791836070905838,0.23811623849165667,1.9160920783032567,1.1521505641308585,1.4462237479791942,0.5106547704097211,46.85176307953477,1.7149921496488096,3.2804573110961206,0.8566683275203455,0.8388355830216295,0.7812655705032386,0.7650024394210441,0.7918950340475005,0.7754106358757522,0.881581132702209,0.8632297934623516,0.8148148148148149,0.7978533094812165,0.9059956817804351,0.8871361196942592,0.2340142833416376,0.22914295007318264,0.6440790566351106,0.6306716539274679,0.8646404251785418,0.8466417303626605,0.7998671317056968,0.7832167832167832
Food101,0.9232871287128713,0.9672641274583023,4.583362952501509,0.013100711102848295,0.9545346534653465,0.2511902249752468,0.3777292032140709,0.8699479854685112,0.9416506775806456,0.537858593969998,2.818353753951604,0.9126694739820626,0.3939282056656083,0.9853124222056261,0.9405148514851485,0.9807069952701022,0.9361188118811882,0.9835698282300224,0.9388514851485148,0.9683843664426189,0.9243564356435644,0.9688407601028961,0.9247920792079208,0.9811218985976269,0.9365148514851486,0.2348767737117252,0.2241980198019802,0.8903825408679777,0.8499009900990099,0.9655215334826986,0.9216237623762377,0.912704339888806,0.8712079207920792
