model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.4960065484046936,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.21497084200382233,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,cosine_similarity,0.6792265176773071,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,cosine_similarity,0.21497084200382233,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.595427393913269,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.21497084200382233,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.o.weight,3,cosine_similarity,0.43010884523391724,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.o.weight,3,cosine_similarity,0.13950377702713013,768,768
t5-base,actmat,transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight,4,cosine_similarity,0.4365326464176178,768,3072
t5-base,identity,transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight,4,cosine_similarity,0.14038480818271637,768,3072
t5-base,actmat,transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight,5,cosine_similarity,0.2849160134792328,3072,768
t5-base,identity,transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight,5,cosine_similarity,0.12751762568950653,3072,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.q.weight,6,cosine_similarity,0.44159042835235596,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.q.weight,6,cosine_similarity,0.2432604283094406,768,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.k.weight,7,cosine_similarity,0.4795612394809723,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.k.weight,7,cosine_similarity,0.2432604283094406,768,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.v.weight,8,cosine_similarity,0.4855094254016876,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.v.weight,8,cosine_similarity,0.2432604283094406,768,768
