model,dataset,magnitude
ViT-B-16,CarsVal,2.6183059699280977
ViT-B-16,DTDVal,2.7448584483617675
ViT-B-16,EuroSATVal,2.1113617552625423
ViT-B-16,GTSRBVal,1.9526026586955607
ViT-B-16,MNISTVal,2.157745896960449
ViT-B-16,SVHNVal,2.486339900894589
ViT-L-14,CarsVal,4.399770756671958
ViT-L-14,DTDVal,3.7759716928796028
ViT-L-14,EuroSATVal,3.746427398827786
ViT-L-14,GTSRBVal,3.0284025589465204
ViT-L-14,MNISTVal,3.5174467450388653
ViT-L-14,SVHNVal,4.149780731590461
t5-base,qasc,14.346478436364288
t5-base,wiki_qa,13.676339726221563
t5-base,quartz,28.144544012533665
t5-base,paws,27.221389917850395
t5-base,story_cloze,15.077644852631483
t5-base,winogrande,22.42539293288063
t5-base,wsc,14.89001680178085
t5-large,qasc,32.848386369624215
t5-large,wiki_qa,41.420239879944226
t5-large,quartz,30.367896708212516
t5-large,paws,31.709822294422636
t5-large,story_cloze,24.209067140428477
t5-large,winogrande,39.071434086109704
t5-large,wsc,50.37524414377636
Olmo-3-7b,Math,3.924773762191502
Olmo-3-7b,Code,4.6370245941118755
Olmo-3-7b,IF,4.276274962838909
gemma-2-2b-it,instruction,6.531868972078183
gemma-2-2b-it,math,9.835216013342976
gemma-2-2b-it,coding,5.908642597929036
gemma-2-2b-it,multilingual,7.630169003671991
gemma-2-9b-it,instruction,9.094582300072886
gemma-2-9b-it,math,67.35327533007961
gemma-2-9b-it,coding,42.91972145909878
gemma-2-9b-it,multilingual,3.423154979547642
roberta-base,cola,1.808752748065609
roberta-base,mnli,8.350864261502956
roberta-base,mrpc,1.2166775766848175
roberta-base,qnli,4.441253118323671
roberta-base,qqp,8.321204094305608
roberta-base,rte,1.0503308837435388
roberta-base,sst2,5.5581431321393495
roberta-base,stsb,1.9406754088417448
roberta-large,cola,2.3121171359773998
roberta-large,mnli,11.156870396878173
roberta-large,mrpc,1.512209991052276
roberta-large,qnli,5.896263789503087
roberta-large,qqp,12.969979979930047
roberta-large,rte,1.3069216460671782
roberta-large,sst2,4.721792554388061
roberta-large,stsb,2.0917886013501557
wizardlm,LM,140.1495504519861
wizardlm,Math,52.09866176933275
wizardlm,Code,5.049358933390435
