# t5-large — artifacts/checkpoints/t5-large/pretrained
# total params: 737,668,096
# columns: name	dtype	shape	numel
transformer.shared.weight	torch.float32	(32128, 1024)	32,899,072
transformer.encoder.block.0.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.0.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.0.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.0.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.0.layer.0.SelfAttention.relative_attention_bias.weight	torch.float32	(32, 16)	512
transformer.encoder.block.0.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.0.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.1.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.1.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.1.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.1.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.1.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.1.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.1.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.1.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.2.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.2.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.2.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.2.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.2.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.2.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.2.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.2.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.3.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.3.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.3.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.3.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.3.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.3.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.3.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.3.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.4.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.4.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.4.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.4.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.4.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.4.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.4.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.4.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.5.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.5.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.5.layer.0.SelfAttention.v.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.5.layer.0.SelfAttention.o.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.5.layer.0.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.5.layer.1.DenseReluDense.wi.weight	torch.float32	(4096, 1024)	4,194,304
transformer.encoder.block.5.layer.1.DenseReluDense.wo.weight	torch.float32	(1024, 4096)	4,194,304
transformer.encoder.block.5.layer.1.layer_norm.weight	torch.float32	(1024)	1,024
transformer.encoder.block.6.layer.0.SelfAttention.q.weight	torch.float32	(1024, 1024)	1,048,576
transformer.encoder.block.6.layer.0.SelfAttention.k.weight	torch.float32	(1024, 1024)	1,048,576
