# vit-l-14 — artifacts/checkpoints/ViT-L-14/pretrained
# total params: 342,562,049
# columns: name	dtype	shape	numel
model.positional_embedding	torch.float32	(77, 768)	59,136
model.text_projection	torch.float32	(768, 768)	589,824
model.logit_scale	torch.float32	()	1
model.visual.class_embedding	torch.float32	(1024)	1,024
model.visual.positional_embedding	torch.float32	(257, 1024)	263,168
model.visual.proj	torch.float32	(1024, 768)	786,432
model.visual.conv1.weight	torch.float32	(1024, 3, 14, 14)	602,112
model.visual.ln_pre.weight	torch.float32	(1024)	1,024
model.visual.ln_pre.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.ln_1.weight	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.ln_1.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.attn.in_proj_weight	torch.float32	(3072, 1024)	3,145,728
model.visual.transformer.resblocks.0.attn.in_proj_bias	torch.float32	(3072)	3,072
model.visual.transformer.resblocks.0.attn.out_proj.weight	torch.float32	(1024, 1024)	1,048,576
model.visual.transformer.resblocks.0.attn.out_proj.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.ln_2.weight	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.ln_2.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.0.mlp.c_fc.weight	torch.float32	(4096, 1024)	4,194,304
model.visual.transformer.resblocks.0.mlp.c_fc.bias	torch.float32	(4096)	4,096
model.visual.transformer.resblocks.0.mlp.c_proj.weight	torch.float32	(1024, 4096)	4,194,304
model.visual.transformer.resblocks.0.mlp.c_proj.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.ln_1.weight	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.ln_1.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.attn.in_proj_weight	torch.float32	(3072, 1024)	3,145,728
model.visual.transformer.resblocks.1.attn.in_proj_bias	torch.float32	(3072)	3,072
model.visual.transformer.resblocks.1.attn.out_proj.weight	torch.float32	(1024, 1024)	1,048,576
model.visual.transformer.resblocks.1.attn.out_proj.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.ln_2.weight	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.ln_2.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.1.mlp.c_fc.weight	torch.float32	(4096, 1024)	4,194,304
model.visual.transformer.resblocks.1.mlp.c_fc.bias	torch.float32	(4096)	4,096
model.visual.transformer.resblocks.1.mlp.c_proj.weight	torch.float32	(1024, 4096)	4,194,304
model.visual.transformer.resblocks.1.mlp.c_proj.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.2.ln_1.weight	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.2.ln_1.bias	torch.float32	(1024)	1,024
model.visual.transformer.resblocks.2.attn.in_proj_weight	torch.float32	(3072, 1024)	3,145,728
model.visual.transformer.resblocks.2.attn.in_proj_bias	torch.float32	(3072)	3,072
model.visual.transformer.resblocks.2.attn.out_proj.weight	torch.float32	(1024, 1024)	1,048,576
