model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.4851226210594177,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.20108628273010254,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,cosine_similarity,0.6779130697250366,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,cosine_similarity,0.20108628273010254,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.5498375296592712,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.20108628273010254,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.o.weight,3,cosine_similarity,0.4024527370929718,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.o.weight,3,cosine_similarity,0.13241735100746155,768,768
t5-base,actmat,transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight,4,cosine_similarity,0.3649716079235077,768,3072
t5-base,identity,transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight,4,cosine_similarity,0.13579939305782318,768,3072
t5-base,actmat,transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight,5,cosine_similarity,0.25764739513397217,3072,768
t5-base,identity,transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight,5,cosine_similarity,0.122250035405159,3072,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.q.weight,6,cosine_similarity,0.396842360496521,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.q.weight,6,cosine_similarity,0.23313334584236145,768,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.k.weight,7,cosine_similarity,0.4603579342365265,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.k.weight,7,cosine_similarity,0.23313334584236145,768,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.v.weight,8,cosine_similarity,0.4685682952404022,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.v.weight,8,cosine_similarity,0.23313334584236145,768,768
t5-base,actmat,transformer.encoder.block.1.layer.0.SelfAttention.o.weight,9,cosine_similarity,0.5402579307556152,768,768
t5-base,identity,transformer.encoder.block.1.layer.0.SelfAttention.o.weight,9,cosine_similarity,0.14112025499343872,768,768
t5-base,actmat,transformer.encoder.block.1.layer.1.DenseReluDense.wi.weight,10,cosine_similarity,0.37807419896125793,768,3072
