model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,rm_loss,134.18882751464844,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,angular_rm_loss,0.6318249106407166,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.4960065484046936,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_cosine_similarity,0.47178712487220764,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,l2_error,110.9508285522461,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_l2_error,49040.78515625,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,rel_l2_error,0.9990208148956299,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_rel_l2_error,1077.3345947265625,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,rm_loss,76.74736022949219,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,angular_rm_loss,0.5803359150886536,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,0.4960065484046936,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_cosine_similarity,0.5377951264381409,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,l2_error,110.9508285522461,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_l2_error,43.5195426940918,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,rel_l2_error,0.9990208148956299,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_rel_l2_error,0.9560431838035583,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,rm_loss,46.92101287841797,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,angular_rm_loss,0.38342931866645813,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,cosine_similarity,1.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_cosine_similarity,1.0000001192092896,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.q.weight,0,inv_l2_error,0.0,768,768
