model,variant,dataset,magnitude
ViT-B-16,adamw-1e-5-wd0.1,CarsVal,2.6183059699280977
ViT-B-16,adamw-1e-5-wd0.1,DTDVal,2.7448584483617675
ViT-B-16,adamw-1e-5-wd0.1,EuroSATVal,2.1113617552625423
ViT-B-16,adamw-1e-5-wd0.1,GTSRBVal,1.9526026586955607
ViT-B-16,adamw-1e-5-wd0.1,MNISTVal,2.157745896960449
ViT-B-16,adamw-1e-5-wd0.1,RESISC45Val,2.3860612379502504
ViT-B-16,adamw-1e-5-wd0.1,SUN397Val,2.7615854802147246
ViT-B-16,adamw-1e-5-wd0.1,SVHNVal,2.486339900894589
ViT-B-16,sgd-1e-4-wd0.1,CarsVal,12.650968104413765
ViT-B-16,sgd-1e-4-wd0.1,DTDVal,12.781902435764895
ViT-B-16,sgd-1e-4-wd0.1,EuroSATVal,12.639465759548244
ViT-B-16,sgd-1e-4-wd0.1,GTSRBVal,12.876376628817077
ViT-B-16,sgd-1e-4-wd0.1,MNISTVal,13.35889071304752
ViT-B-16,sgd-1e-4-wd0.1,RESISC45Val,12.444138646511254
ViT-B-16,sgd-1e-4-wd0.1,SUN397Val,12.236226932050023
ViT-B-16,sgd-1e-4-wd0.1,SVHNVal,13.276647561979003
ViT-B-16,sgd-1e-5-wd0,CarsVal,0.020024795586720833
ViT-B-16,sgd-1e-5-wd0,EuroSATVal,0.03956456916286447
ViT-B-16,sgd-1e-5-wd0,GTSRBVal,0.04541502111173282
ViT-B-16,sgd-1e-5-wd0,MNISTVal,0.03236251565862388
ViT-B-16,sgd-1e-5-wd0,RESISC45Val,0.02831827532039173
ViT-B-16,sgd-1e-5-wd0,SVHNVal,0.043559832456126456
ViT-B-16,sgd-1e-5-wd0.1,CarsVal,1.322997088094801
Olmo-3-7b-polyglot,polyglot-sft,ar,20.36927541067479
Olmo-3-7b-polyglot,polyglot-sft,cs,24.396933367680692
Olmo-3-7b-polyglot,polyglot-sft,de,19.766060525589367
Olmo-3-7b-polyglot,polyglot-sft,es,19.54457430280477
ViT-B-16,sgd-1e-5-wd0,DTDVal,0.0286055640851913
ViT-B-16,sgd-1e-5-wd0,SUN397Val,0.01714932233625557
ViT-B-16,sgd-1e-5-wd0.1,DTDVal,1.3374243438303732
ViT-B-16,sgd-1e-5-wd0.1,EuroSATVal,1.3221355848933665
ViT-B-16,sgd-1e-5-wd0.1,GTSRBVal,1.3482294354414208
ViT-B-16,sgd-1e-5-wd0.1,MNISTVal,1.400947708253529
ViT-B-16,sgd-1e-5-wd0.1,RESISC45Val,1.3004963868783017
ViT-B-16,sgd-1e-5-wd0.1,SUN397Val,1.2776273457522211
ViT-B-16,sgd-1e-5-wd0.1,SVHNVal,1.3921857047283202
wizardlm,wizardlm-13b,Math,52.09866176933275
wizardlm,wizardlm-13b,Code,5.049358933390435
wizardlm,wizardlm-13b,LM,140.1495504519861
