,method,chat_templ,task,metric,score
0,RegMean,code,HE@1,@1,0.5914634146341462
1,RegMean,code,HE@10,@10,0.8572775153940677
2,RegMean,code,HE+@1,@1,0.5475609756097563
3,RegMean,code,HE+@10,@10,0.8108532004505347
4,RegMean,code,IF@1,@1,0.7467652495378928
5,Average,math,A24@1,@1,0.3458333333333333
6,Average,math,A24@32,@32,0.8333333333333334
7,Average,math,A25@1,@1,0.30520833333333336
8,Average,math,A25@32,@32,0.6
9,Average,code,HE@1,@1,0.5987804878048776
10,Average,code,HE@10,@10,0.8594380115844289
11,Average,code,HE+@1,@1,0.5454268292682928
12,Average,code,HE+@10,@10,0.818798188144258
13,Average,code,IF@1,@1,0.6746765249537893
14,sum,math,A24@1,@1,0.33125
15,sum,math,A24@32,@32,0.5666666666666667
16,sum,math,A25@1,@1,0.28020833333333334
17,sum,math,A25@32,@32,0.5666666666666667
18,Iso-C,math,A24@1,@1,0.325
19,Iso-C,math,A24@32,@32,0.7666666666666667
20,Iso-C,math,A25@1,@1,0.3145833333333333
21,Iso-C,math,A25@32,@32,0.6333333333333333
22,Iso-C,code,HE@1,@1,0.5899390243902445
23,Iso-C,code,HE@10,@10,0.8436810395675454
24,Iso-C,code,HE+@1,@1,0.5381097560975612
25,Iso-C,code,HE+@10,@10,0.8286876983169363
26,Iso-C,code,IF@1,@1,0.6303142329020333
27,TSV,math,A24@1,@1,0.396875
28,TSV,math,A24@32,@32,0.8333333333333334
29,TSV,math,A25@1,@1,0.32083333333333336
30,TSV,math,A25@32,@32,0.6666666666666666
31,TSV,code,HE@1,@1,0.6256097560975611
32,TSV,code,HE@10,@10,0.8249981914181869
33,TSV,code,HE+@1,@1,0.5841463414634149
34,TSV,code,HE+@10,@10,0.8085608890090503
35,TSV,code,IF@1,@1,0.8280961182994455
36,WUDI,math,A24@1,@1,0.3885416666666667
37,WUDI,math,A24@32,@32,0.7
38,WUDI,math,A25@1,@1,0.296875
39,WUDI,math,A25@32,@32,0.6666666666666666
40,WUDI,code,HE@1,@1,0.620121951219512
41,WUDI,code,HE@10,@10,0.8023766613210092
42,WUDI,code,HE+@1,@1,0.5628048780487804
43,WUDI,code,HE+@10,@10,0.7657575330732848
44,WUDI,code,IF@1,@1,0.8151571164510166
45,wudi_unweighted,code,HE@1,@1,0.6204268292682927
46,wudi_unweighted,code,HE@10,@10,0.8263214594436745
47,wudi_unweighted,code,HE+@1,@1,0.5789634146341464
48,wudi_unweighted,code,HE+@10,@10,0.7573797068671717
49,wudi_unweighted,code,IF@1,@1,0.8096118299445472
50,ace,code,HE@1,@1,0.6307926829268294
51,ace,code,HE@10,@10,0.8128371948975285
52,ace,code,HE+@1,@1,0.5624999999999998
53,ace,code,HE+@10,@10,0.7762638422515338
54,ace,code,IF@1,@1,0.8280961182994455
55,actmat,math,A24@1,@1,0.39895833333333336
56,actmat,math,A24@32,@32,0.8
57,actmat,math,A25@1,@1,0.29791666666666666
58,actmat,math,A25@32,@32,0.6666666666666666
59,actmat,code,HE@1,@1,0.6118902439024388
60,actmat,code,HE@10,@10,0.8002050100092458
61,actmat,code,HE+@1,@1,0.5643292682926827
62,actmat,code,HE+@10,@10,0.7459861694976472
63,actmat,code,IF@1,@1,0.8114602587800369
64,ACTMat GD,math,A24@1,@1,0.39895833333333336
65,ACTMat GD,math,A24@32,@32,0.8
66,ACTMat GD,math,A25@1,@1,0.29791666666666666
67,ACTMat GD,math,A25@32,@32,0.6666666666666666
68,ACTMat GD,code,HE@1,@1,0.6265243902439024
69,ACTMat GD,code,HE@10,@10,0.8205109943292378
70,ACTMat GD,code,HE+@1,@1,0.5692073170731706
71,ACTMat GD,code,HE+@10,@10,0.7593594768894927
72,ACTMat GD,code,IF@1,@1,0.8151571164510166
