dataset,layer_name,cosine_similarity,type,mode
Cars,model.visual.transformer.resblocks.0.attn.q,0.6296393871307373,cross,true
Cars,model.visual.transformer.resblocks.0.attn.q,0.7713056802749634,corr,true
Cars,model.visual.transformer.resblocks.0.attn.q,0.994347095489502,drift,true
Cars,model.visual.transformer.resblocks.0.attn.q,0.3152771592140198,tot,true
Cars,model.visual.transformer.resblocks.0.attn.k,0.9749657511711121,cross,true
Cars,model.visual.transformer.resblocks.0.attn.k,0.37407034635543823,corr,true
Cars,model.visual.transformer.resblocks.0.attn.k,0.9941951632499695,drift,true
Cars,model.visual.transformer.resblocks.0.attn.k,0.37682846188545227,tot,true
Cars,model.visual.transformer.resblocks.0.attn.v,0.9699997901916504,cross,true
Cars,model.visual.transformer.resblocks.0.attn.v,0.36095958948135376,corr,true
Cars,model.visual.transformer.resblocks.0.attn.v,0.9943358898162842,drift,true
Cars,model.visual.transformer.resblocks.0.attn.v,0.4767759442329407,tot,true
Cars,model.visual.transformer.resblocks.0.attn.o,0.768095076084137,cross,true
Cars,model.visual.transformer.resblocks.0.attn.o,0.8530333638191223,corr,true
Cars,model.visual.transformer.resblocks.0.attn.o,0.9888871312141418,drift,true
Cars,model.visual.transformer.resblocks.0.attn.o,0.6245918869972229,tot,true
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,0.6504076719284058,cross,true
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,0.8325484991073608,corr,true
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,0.9987544417381287,drift,true
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,0.43169763684272766,tot,true
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,0.9769977927207947,cross,true
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,0.9660571217536926,corr,true
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,0.998434841632843,drift,true
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,0.9475721716880798,tot,true
Cars,model.visual.transformer.resblocks.1.attn.q,0.8227556347846985,cross,true
Cars,model.visual.transformer.resblocks.1.attn.q,0.9079484939575195,corr,true
Cars,model.visual.transformer.resblocks.1.attn.q,0.9948310256004333,drift,true
Cars,model.visual.transformer.resblocks.1.attn.q,0.7289614081382751,tot,true
Cars,model.visual.transformer.resblocks.1.attn.k,0.9474763870239258,cross,true
Cars,model.visual.transformer.resblocks.1.attn.k,0.8089052438735962,corr,true
Cars,model.visual.transformer.resblocks.1.attn.k,0.9948545694351196,drift,true
Cars,model.visual.transformer.resblocks.1.attn.k,0.6953070759773254,tot,true
Cars,model.visual.transformer.resblocks.1.attn.v,0.9876274466514587,cross,true
Cars,model.visual.transformer.resblocks.1.attn.v,0.6362171173095703,corr,true
Cars,model.visual.transformer.resblocks.1.attn.v,0.9949132204055786,drift,true
Cars,model.visual.transformer.resblocks.1.attn.v,0.6781971454620361,tot,true
Cars,model.visual.transformer.resblocks.1.attn.o,0.8607945442199707,cross,true
Cars,model.visual.transformer.resblocks.1.attn.o,0.8488904237747192,corr,true
Cars,model.visual.transformer.resblocks.1.attn.o,0.9842906594276428,drift,true
Cars,model.visual.transformer.resblocks.1.attn.o,0.7255527377128601,tot,true
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,0.8282434940338135,cross,true
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,0.40954333543777466,corr,true
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,0.9909799695014954,drift,true
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,0.1672114133834839,tot,true
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,0.9646573662757874,cross,true
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,0.9640498161315918,corr,true
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,0.997347891330719,drift,true
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,0.9692225456237793,tot,true
Cars,model.visual.transformer.resblocks.2.attn.q,0.7298315167427063,cross,true
Cars,model.visual.transformer.resblocks.2.attn.q,0.8710792660713196,corr,true
Cars,model.visual.transformer.resblocks.2.attn.q,0.9948866963386536,drift,true
Cars,model.visual.transformer.resblocks.2.attn.q,0.554343581199646,tot,true
Cars,model.visual.transformer.resblocks.2.attn.k,0.9368016719818115,cross,true
Cars,model.visual.transformer.resblocks.2.attn.k,0.5772885680198669,corr,true
Cars,model.visual.transformer.resblocks.2.attn.k,0.994943380355835,drift,true
Cars,model.visual.transformer.resblocks.2.attn.k,0.42181405425071716,tot,true
Cars,model.visual.transformer.resblocks.2.attn.v,0.9840253591537476,cross,true
Cars,model.visual.transformer.resblocks.2.attn.v,0.3937814235687256,corr,true
Cars,model.visual.transformer.resblocks.2.attn.v,0.9949541687965393,drift,true
Cars,model.visual.transformer.resblocks.2.attn.v,0.40622639656066895,tot,true
Cars,model.visual.transformer.resblocks.2.attn.o,0.8669852614402771,cross,true
Cars,model.visual.transformer.resblocks.2.attn.o,0.8126245737075806,corr,true
Cars,model.visual.transformer.resblocks.2.attn.o,0.9857648015022278,drift,true
Cars,model.visual.transformer.resblocks.2.attn.o,0.7796310782432556,tot,true
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,0.9638785123825073,cross,true
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,0.5528116226196289,corr,true
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,0.9896559119224548,drift,true
