dataset,layer_name,cosine_similarity,type,mode
Cars,5_attn_q,0.8309869766235352,cross,true
Cars,5_attn_q,0.10539979487657547,cross,ctrl
Cars,5_attn_q,0.8285712599754333,corr,true
Cars,5_attn_q,0.13180787861347198,corr,ctrl
Cars,3_attn_v,0.9909090399742126,cross,true
Cars,3_attn_v,0.06053769960999489,cross,ctrl
Cars,3_attn_v,0.5238274335861206,corr,true
Cars,3_attn_v,0.06212707608938217,corr,ctrl
Cars,1_mlp_c_fc,0.9589671492576599,cross,true
Cars,1_mlp_c_fc,0.06725732237100601,cross,ctrl
Cars,1_mlp_c_fc,0.46658700704574585,corr,true
Cars,1_mlp_c_fc,0.09137032181024551,corr,ctrl
Cars,11_mlp_c_proj,0.9710333943367004,cross,true
Cars,11_mlp_c_proj,0.022410277277231216,cross,ctrl
Cars,11_mlp_c_proj,0.21728426218032837,corr,true
Cars,11_mlp_c_proj,0.023205071687698364,corr,ctrl
Cars,6_mlp_c_proj,0.9622611403465271,cross,true
Cars,6_mlp_c_proj,0.03208696097135544,cross,ctrl
Cars,6_mlp_c_proj,0.5659478306770325,corr,true
Cars,6_mlp_c_proj,0.03255939483642578,corr,ctrl
Cars,10_attn_k,0.9072688221931458,cross,true
Cars,10_attn_k,0.059526290744543076,cross,ctrl
Cars,10_attn_k,0.6190477013587952,corr,true
Cars,10_attn_k,0.0720529854297638,corr,ctrl
Cars,8_attn_o,0.9520087838172913,cross,true
Cars,8_attn_o,0.05568971857428551,cross,ctrl
Cars,8_attn_o,0.9116984009742737,corr,true
Cars,8_attn_o,0.050558533519506454,corr,ctrl
Cars,0_attn_q,0.24023735523223877,cross,true
Cars,0_attn_q,0.04877251386642456,cross,ctrl
Cars,0_attn_q,0.668239414691925,corr,true
Cars,0_attn_q,0.14328105747699738,corr,ctrl
DTD,8_attn_o,0.9317789673805237,cross,true
DTD,8_attn_o,0.09109466522932053,cross,ctrl
DTD,8_attn_o,0.9650384187698364,corr,true
DTD,8_attn_o,0.10416561365127563,corr,ctrl
DTD,11_mlp_c_proj,0.9748559594154358,cross,true
DTD,11_mlp_c_proj,0.02106405980885029,cross,ctrl
DTD,11_mlp_c_proj,0.3001271188259125,corr,true
DTD,11_mlp_c_proj,0.022345418110489845,corr,ctrl
DTD,1_mlp_c_fc,0.9695340394973755,cross,true
DTD,1_mlp_c_fc,0.05274556577205658,cross,ctrl
DTD,1_mlp_c_fc,0.46230649948120117,corr,true
DTD,1_mlp_c_fc,0.07742317765951157,corr,ctrl
DTD,10_attn_k,0.9069428443908691,cross,true
DTD,10_attn_k,0.03808380290865898,cross,ctrl
DTD,10_attn_k,0.8058660626411438,corr,true
DTD,10_attn_k,0.05922564119100571,corr,ctrl
DTD,5_attn_q,0.6798161268234253,cross,true
DTD,5_attn_q,0.08587919175624847,cross,ctrl
DTD,5_attn_q,0.716545820236206,corr,true
DTD,5_attn_q,0.1210990697145462,corr,ctrl
DTD,3_attn_v,0.9848204255104065,cross,true
DTD,3_attn_v,0.06762845814228058,cross,ctrl
DTD,3_attn_v,0.5515710115432739,corr,true
DTD,3_attn_v,0.06481660902500153,corr,ctrl
DTD,6_mlp_c_proj,0.9407000541687012,cross,true
DTD,6_mlp_c_proj,0.0326177217066288,cross,ctrl
DTD,6_mlp_c_proj,0.7634812593460083,corr,true
DTD,6_mlp_c_proj,0.03466954454779625,corr,ctrl
DTD,0_attn_q,0.5908268690109253,cross,true
DTD,0_attn_q,0.03558734804391861,cross,ctrl
DTD,0_attn_q,0.6761240363121033,corr,true
DTD,0_attn_q,0.1273781657218933,corr,ctrl
EuroSAT,10_attn_k,0.905553936958313,cross,true
EuroSAT,10_attn_k,0.03915482386946678,cross,ctrl
EuroSAT,10_attn_k,0.7569087147712708,corr,true
EuroSAT,10_attn_k,0.058024827390909195,corr,ctrl
EuroSAT,8_attn_o,0.7055217623710632,cross,true
EuroSAT,8_attn_o,0.0498155802488327,cross,ctrl
EuroSAT,8_attn_o,0.9639571309089661,corr,true
EuroSAT,8_attn_o,0.04922209307551384,corr,ctrl
EuroSAT,1_mlp_c_fc,0.9468851089477539,cross,true
EuroSAT,1_mlp_c_fc,0.04017481580376625,cross,ctrl
EuroSAT,1_mlp_c_fc,0.9049273133277893,corr,true
EuroSAT,1_mlp_c_fc,0.0528063029050827,corr,ctrl
EuroSAT,5_attn_q,0.7575549483299255,cross,true
EuroSAT,5_attn_q,0.050526607781648636,cross,ctrl
EuroSAT,5_attn_q,0.8581613302230835,corr,true
EuroSAT,5_attn_q,0.0789838433265686,corr,ctrl
EuroSAT,3_attn_v,0.9243791103363037,cross,true
EuroSAT,3_attn_v,0.04314107447862625,cross,ctrl
EuroSAT,3_attn_v,0.6606505513191223,corr,true
EuroSAT,3_attn_v,0.05155331268906593,corr,ctrl
EuroSAT,6_mlp_c_proj,0.8071786761283875,cross,true
EuroSAT,6_mlp_c_proj,0.020996488630771637,cross,ctrl
EuroSAT,6_mlp_c_proj,0.6663348078727722,corr,true
EuroSAT,6_mlp_c_proj,0.028865598142147064,corr,ctrl
EuroSAT,11_mlp_c_proj,0.8610569834709167,cross,true
EuroSAT,11_mlp_c_proj,0.014534230343997478,cross,ctrl
EuroSAT,11_mlp_c_proj,0.22500227391719818,corr,true
EuroSAT,11_mlp_c_proj,0.02173141948878765,corr,ctrl
EuroSAT,0_attn_q,0.9018131494522095,cross,true
EuroSAT,0_attn_q,0.04810686036944389,cross,ctrl
