dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.5999950766563416,cross,true
Cars,0_attn_q,0.05001043900847435,cross,ctrl
Cars,0_attn_q,0.2995193600654602,corr,true
Cars,0_attn_q,0.07540614157915115,corr,ctrl
Cars,1_mlp_c_fc,0.97154301404953,cross,true
Cars,1_mlp_c_fc,0.08059600740671158,cross,ctrl
Cars,1_mlp_c_fc,0.41921547055244446,corr,true
Cars,1_mlp_c_fc,0.08151193708181381,corr,ctrl
Cars,3_attn_v,0.9940112829208374,cross,true
Cars,3_attn_v,0.06009722128510475,cross,ctrl
Cars,3_attn_v,0.4546385109424591,corr,true
Cars,3_attn_v,0.059342849999666214,corr,ctrl
Cars,5_attn_q,0.9495561122894287,cross,true
Cars,5_attn_q,0.1020083948969841,cross,ctrl
Cars,5_attn_q,0.5890315175056458,corr,true
Cars,5_attn_q,0.11062228679656982,corr,ctrl
Cars,6_mlp_c_proj,0.9899803400039673,cross,true
Cars,6_mlp_c_proj,0.02414097636938095,cross,ctrl
Cars,6_mlp_c_proj,0.5118181705474854,corr,true
Cars,6_mlp_c_proj,0.030341487377882004,corr,ctrl
Cars,8_attn_o,0.9810716509819031,cross,true
Cars,8_attn_o,0.03956898674368858,cross,ctrl
Cars,8_attn_o,0.8305178284645081,corr,true
Cars,8_attn_o,0.04836010932922363,corr,ctrl
Cars,10_attn_k,0.96714848279953,cross,true
Cars,10_attn_k,0.043495528399944305,cross,ctrl
Cars,10_attn_k,0.6350253224372864,corr,true
Cars,10_attn_k,0.05743355676531792,corr,ctrl
Cars,11_mlp_c_proj,0.991837203502655,cross,true
Cars,11_mlp_c_proj,0.016691509634256363,cross,ctrl
Cars,11_mlp_c_proj,0.2324712872505188,corr,true
Cars,11_mlp_c_proj,0.01832684874534607,corr,ctrl
DTD,0_attn_q,0.6047613024711609,cross,true
DTD,0_attn_q,0.043552301824092865,cross,ctrl
DTD,0_attn_q,0.3198849856853485,corr,true
DTD,0_attn_q,0.06487157195806503,corr,ctrl
DTD,1_mlp_c_fc,0.9634044766426086,cross,true
DTD,1_mlp_c_fc,0.061935942620038986,cross,ctrl
DTD,1_mlp_c_fc,0.573255717754364,corr,true
DTD,1_mlp_c_fc,0.07406989485025406,corr,ctrl
DTD,3_attn_v,0.9947423338890076,cross,true
DTD,3_attn_v,0.06091051921248436,cross,ctrl
DTD,3_attn_v,0.5656984448432922,corr,true
DTD,3_attn_v,0.06048004329204559,corr,ctrl
DTD,5_attn_q,0.8101907968521118,cross,true
DTD,5_attn_q,0.06453461945056915,cross,ctrl
DTD,5_attn_q,0.6285231709480286,corr,true
DTD,5_attn_q,0.09345658868551254,corr,ctrl
DTD,6_mlp_c_proj,0.9957738518714905,cross,true
DTD,6_mlp_c_proj,0.028547171503305435,cross,ctrl
DTD,6_mlp_c_proj,0.6524944305419922,corr,true
DTD,6_mlp_c_proj,0.02918202616274357,corr,ctrl
DTD,8_attn_o,0.9878488779067993,cross,true
DTD,8_attn_o,0.0559474341571331,cross,ctrl
DTD,8_attn_o,0.7233474850654602,corr,true
DTD,8_attn_o,0.06057065352797508,corr,ctrl
DTD,10_attn_k,0.9407535791397095,cross,true
DTD,10_attn_k,0.048484791070222855,cross,ctrl
DTD,10_attn_k,0.6868211030960083,corr,true
DTD,10_attn_k,0.04980064928531647,corr,ctrl
DTD,11_mlp_c_proj,0.9892401695251465,cross,true
DTD,11_mlp_c_proj,0.017410902306437492,cross,ctrl
DTD,11_mlp_c_proj,0.2552459239959717,corr,true
DTD,11_mlp_c_proj,0.01952158845961094,corr,ctrl
EuroSAT,0_attn_q,0.9210171103477478,cross,true
EuroSAT,0_attn_q,0.04808541014790535,cross,ctrl
EuroSAT,0_attn_q,0.45975038409233093,corr,true
EuroSAT,0_attn_q,0.05838145315647125,corr,ctrl
EuroSAT,1_mlp_c_fc,0.9800431728363037,cross,true
EuroSAT,1_mlp_c_fc,0.05857499688863754,cross,ctrl
EuroSAT,1_mlp_c_fc,0.7690426111221313,corr,true
EuroSAT,1_mlp_c_fc,0.0592988058924675,corr,ctrl
EuroSAT,3_attn_v,0.9939163327217102,cross,true
EuroSAT,3_attn_v,0.045547693967819214,cross,ctrl
EuroSAT,3_attn_v,0.6603295207023621,corr,true
EuroSAT,3_attn_v,0.04924673214554787,corr,ctrl
EuroSAT,5_attn_q,0.9155682921409607,cross,true
EuroSAT,5_attn_q,0.04725280776619911,cross,ctrl
EuroSAT,5_attn_q,0.6780162453651428,corr,true
EuroSAT,5_attn_q,0.0610927939414978,corr,ctrl
EuroSAT,6_mlp_c_proj,0.9926140904426575,cross,true
EuroSAT,6_mlp_c_proj,0.01788928173482418,cross,ctrl
EuroSAT,6_mlp_c_proj,0.5277398824691772,corr,true
EuroSAT,6_mlp_c_proj,0.020604101940989494,corr,ctrl
EuroSAT,8_attn_o,0.968888521194458,cross,true
EuroSAT,8_attn_o,0.03569486737251282,cross,ctrl
EuroSAT,8_attn_o,0.746606707572937,corr,true
EuroSAT,8_attn_o,0.042734093964099884,corr,ctrl
EuroSAT,10_attn_k,0.9712681770324707,cross,true
EuroSAT,10_attn_k,0.04176298528909683,cross,ctrl
EuroSAT,10_attn_k,0.5949443578720093,corr,true
EuroSAT,10_attn_k,0.04522775486111641,corr,ctrl
EuroSAT,11_mlp_c_proj,0.9920251369476318,cross,true
EuroSAT,11_mlp_c_proj,0.014050786383450031,cross,ctrl
EuroSAT,11_mlp_c_proj,0.2221347838640213,corr,true
EuroSAT,11_mlp_c_proj,0.015185149386525154,corr,ctrl
GTSRB,0_attn_q,0.7697551846504211,cross,true
GTSRB,0_attn_q,0.049478814005851746,cross,ctrl
GTSRB,0_attn_q,0.7403895258903503,corr,true
GTSRB,0_attn_q,0.07109075039625168,corr,ctrl
