dataset,layer_name,cosine_similarity,type
Cars,0_attn_q,0.7267434000968933,cross
Cars,0_attn_q,0.39281517267227173,corr
Cars,3_attn_v,0.9210368990898132,cross
Cars,3_attn_v,0.7990338802337646,corr
Cars,6_mlp_c_proj,0.9256803393363953,cross
Cars,6_mlp_c_proj,0.9583380222320557,corr
Cars,10_attn_k,0.7610434889793396,cross
Cars,10_attn_k,0.645090639591217,corr
Cars,13_mlp_c_fc,0.9716456532478333,cross
Cars,13_mlp_c_fc,0.836159884929657,corr
Cars,17_attn_q,0.897320568561554,cross
Cars,17_attn_q,0.5784140229225159,corr
Cars,20_attn_o,0.9041986465454102,cross
Cars,20_attn_o,0.566571056842804,corr
Cars,23_mlp_c_proj,0.9770251512527466,cross
Cars,23_mlp_c_proj,0.35970380902290344,corr
DTD,0_attn_q,0.26048728823661804,cross
DTD,0_attn_q,0.6289509534835815,corr
DTD,3_attn_v,0.962008535861969,cross
DTD,3_attn_v,0.5881103277206421,corr
DTD,6_mlp_c_proj,0.9821848273277283,cross
DTD,6_mlp_c_proj,0.9937302470207214,corr
DTD,10_attn_k,0.9156217575073242,cross
DTD,10_attn_k,0.6127424240112305,corr
DTD,13_mlp_c_fc,0.9817844033241272,cross
DTD,13_mlp_c_fc,0.9212656617164612,corr
DTD,17_attn_q,0.7720900177955627,cross
DTD,17_attn_q,0.7108983993530273,corr
DTD,20_attn_o,0.8962902426719666,cross
DTD,20_attn_o,0.7310783863067627,corr
DTD,23_mlp_c_proj,0.9884440898895264,cross
DTD,23_mlp_c_proj,0.5704259872436523,corr
EuroSAT,0_attn_q,0.4125504493713379,cross
EuroSAT,0_attn_q,0.5662192106246948,corr
EuroSAT,3_attn_v,0.8326072692871094,cross
EuroSAT,3_attn_v,0.8207350969314575,corr
EuroSAT,6_mlp_c_proj,0.9814509749412537,cross
EuroSAT,6_mlp_c_proj,0.9658166170120239,corr
EuroSAT,10_attn_k,0.9176535606384277,cross
EuroSAT,10_attn_k,0.5535944700241089,corr
EuroSAT,13_mlp_c_fc,0.9584084153175354,cross
EuroSAT,13_mlp_c_fc,0.8177720904350281,corr
EuroSAT,17_attn_q,0.9317001104354858,cross
EuroSAT,17_attn_q,0.49538078904151917,corr
EuroSAT,20_attn_o,0.9228348731994629,cross
EuroSAT,20_attn_o,0.7157870531082153,corr
EuroSAT,23_mlp_c_proj,0.9764015078544617,cross
EuroSAT,23_mlp_c_proj,0.5463204383850098,corr
GTSRB,0_attn_q,0.47577017545700073,cross
GTSRB,0_attn_q,0.5682300329208374,corr
GTSRB,3_attn_v,0.9170107245445251,cross
GTSRB,3_attn_v,0.8126526474952698,corr
GTSRB,6_mlp_c_proj,0.985622227191925,cross
GTSRB,6_mlp_c_proj,0.9477711915969849,corr
GTSRB,10_attn_k,0.9143662452697754,cross
GTSRB,10_attn_k,0.535491943359375,corr
GTSRB,13_mlp_c_fc,0.9799914956092834,cross
GTSRB,13_mlp_c_fc,0.6306529641151428,corr
GTSRB,17_attn_q,0.816586434841156,cross
GTSRB,17_attn_q,0.4975830912590027,corr
GTSRB,20_attn_o,0.9543133974075317,cross
GTSRB,20_attn_o,0.6866834759712219,corr
GTSRB,23_mlp_c_proj,0.9948383569717407,cross
GTSRB,23_mlp_c_proj,0.5676625370979309,corr
MNIST,0_attn_q,0.743692934513092,cross
MNIST,0_attn_q,0.6559810638427734,corr
MNIST,3_attn_v,0.9352221488952637,cross
MNIST,3_attn_v,0.6711814999580383,corr
MNIST,6_mlp_c_proj,0.991081953048706,cross
MNIST,6_mlp_c_proj,0.8062801361083984,corr
MNIST,10_attn_k,0.8161802291870117,cross
MNIST,10_attn_k,0.548107922077179,corr
MNIST,13_mlp_c_fc,0.990320086479187,cross
MNIST,13_mlp_c_fc,0.6063820123672485,corr
MNIST,17_attn_q,0.8742280006408691,cross
MNIST,17_attn_q,0.3624127507209778,corr
MNIST,20_attn_o,0.9503551125526428,cross
MNIST,20_attn_o,0.605399489402771,corr
MNIST,23_mlp_c_proj,0.9638516902923584,cross
MNIST,23_mlp_c_proj,0.4336681365966797,corr
RESISC45,0_attn_q,0.41900813579559326,cross
RESISC45,0_attn_q,0.7091670036315918,corr
RESISC45,3_attn_v,0.9538450837135315,cross
RESISC45,3_attn_v,0.6399343609809875,corr
RESISC45,6_mlp_c_proj,0.9755756258964539,cross
RESISC45,6_mlp_c_proj,0.984693706035614,corr
RESISC45,10_attn_k,0.9186499118804932,cross
RESISC45,10_attn_k,0.7041676640510559,corr
RESISC45,13_mlp_c_fc,0.985201895236969,cross
RESISC45,13_mlp_c_fc,0.9611945748329163,corr
RESISC45,17_attn_q,0.8486030697822571,cross
RESISC45,17_attn_q,0.7204344272613525,corr
RESISC45,20_attn_o,0.8957915306091309,cross
