dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.8907695412635803,cross,true
Cars,0_attn_q,0.04353345185518265,cross,ctrl
Cars,0_attn_q,0.8098326325416565,corr,true
Cars,0_attn_q,0.05432506650686264,corr,ctrl
Cars,3_attn_v,0.95408695936203,cross,true
Cars,3_attn_v,0.08009335398674011,cross,ctrl
Cars,3_attn_v,0.8369742631912231,corr,true
Cars,3_attn_v,0.08413074910640717,corr,ctrl
Cars,6_mlp_c_proj,0.868218719959259,cross,true
Cars,6_mlp_c_proj,0.06230153515934944,cross,ctrl
Cars,6_mlp_c_proj,0.9753598570823669,corr,true
Cars,6_mlp_c_proj,0.05588578060269356,corr,ctrl
Cars,10_attn_k,0.8625720739364624,cross,true
Cars,10_attn_k,0.13283371925354004,cross,ctrl
Cars,10_attn_k,0.7113158702850342,corr,true
Cars,10_attn_k,0.14709877967834473,corr,ctrl
Cars,13_mlp_c_fc,0.9840987324714661,cross,true
Cars,13_mlp_c_fc,0.07010026276111603,cross,ctrl
Cars,13_mlp_c_fc,0.8233977556228638,corr,true
Cars,13_mlp_c_fc,0.06206260249018669,corr,ctrl
Cars,17_attn_q,0.9071535468101501,cross,true
Cars,17_attn_q,0.06453221291303635,cross,ctrl
Cars,17_attn_q,0.5179773569107056,corr,true
Cars,17_attn_q,0.07308478653430939,corr,ctrl
Cars,20_attn_o,0.7691885828971863,cross,true
Cars,20_attn_o,0.13095685839653015,cross,ctrl
Cars,20_attn_o,0.5071396827697754,corr,true
Cars,20_attn_o,0.11215350776910782,corr,ctrl
Cars,23_mlp_c_proj,0.8973791599273682,cross,true
Cars,23_mlp_c_proj,0.03133384883403778,cross,ctrl
Cars,23_mlp_c_proj,0.3747688829898834,corr,true
Cars,23_mlp_c_proj,0.02376132272183895,corr,ctrl
DTD,0_attn_q,0.2632681429386139,cross,true
DTD,0_attn_q,0.060205522924661636,cross,ctrl
DTD,0_attn_q,0.7138440608978271,corr,true
DTD,0_attn_q,0.19177642464637756,corr,ctrl
DTD,3_attn_v,0.9673178791999817,cross,true
DTD,3_attn_v,0.0672292485833168,cross,ctrl
DTD,3_attn_v,0.5684324502944946,corr,true
DTD,3_attn_v,0.06667108833789825,corr,ctrl
DTD,6_mlp_c_proj,0.9676411151885986,cross,true
DTD,6_mlp_c_proj,0.041181113570928574,cross,ctrl
DTD,6_mlp_c_proj,0.9888854026794434,corr,true
DTD,6_mlp_c_proj,0.030223151668906212,corr,ctrl
DTD,10_attn_k,0.890432596206665,cross,true
DTD,10_attn_k,0.10948183387517929,cross,ctrl
DTD,10_attn_k,0.6350760459899902,corr,true
DTD,10_attn_k,0.12003151327371597,corr,ctrl
DTD,13_mlp_c_fc,0.981960654258728,cross,true
DTD,13_mlp_c_fc,0.07523973286151886,cross,ctrl
DTD,13_mlp_c_fc,0.9233413338661194,corr,true
DTD,13_mlp_c_fc,0.07092934846878052,corr,ctrl
DTD,17_attn_q,0.7574030756950378,cross,true
DTD,17_attn_q,0.06868785619735718,cross,ctrl
DTD,17_attn_q,0.7546296119689941,corr,true
DTD,17_attn_q,0.10431501269340515,corr,ctrl
DTD,20_attn_o,0.7989685535430908,cross,true
DTD,20_attn_o,0.13412852585315704,cross,ctrl
DTD,20_attn_o,0.765484631061554,corr,true
DTD,20_attn_o,0.15740783512592316,corr,ctrl
DTD,23_mlp_c_proj,0.9206547737121582,cross,true
DTD,23_mlp_c_proj,0.024175556376576424,cross,ctrl
DTD,23_mlp_c_proj,0.5752347111701965,corr,true
DTD,23_mlp_c_proj,0.024549253284931183,corr,ctrl
EuroSAT,0_attn_q,0.4727866053581238,cross,true
EuroSAT,0_attn_q,0.03979569301009178,cross,ctrl
EuroSAT,0_attn_q,0.7458783984184265,corr,true
EuroSAT,0_attn_q,0.07461856305599213,corr,ctrl
EuroSAT,3_attn_v,0.967278242111206,cross,true
EuroSAT,3_attn_v,0.06453102082014084,cross,ctrl
EuroSAT,3_attn_v,0.7491580247879028,corr,true
EuroSAT,3_attn_v,0.06764578074216843,corr,ctrl
EuroSAT,6_mlp_c_proj,0.9600507020950317,cross,true
EuroSAT,6_mlp_c_proj,0.02624284289777279,cross,ctrl
EuroSAT,6_mlp_c_proj,0.9616196155548096,corr,true
EuroSAT,6_mlp_c_proj,0.024499671533703804,corr,ctrl
EuroSAT,10_attn_k,0.8489632606506348,cross,true
EuroSAT,10_attn_k,0.07837674021720886,cross,ctrl
EuroSAT,10_attn_k,0.6205063462257385,corr,true
EuroSAT,10_attn_k,0.11831288784742355,corr,ctrl
EuroSAT,13_mlp_c_fc,0.9415693283081055,cross,true
EuroSAT,13_mlp_c_fc,0.04874229058623314,cross,ctrl
EuroSAT,13_mlp_c_fc,0.9449465870857239,corr,true
EuroSAT,13_mlp_c_fc,0.04992172494530678,corr,ctrl
EuroSAT,17_attn_q,0.7954970598220825,cross,true
EuroSAT,17_attn_q,0.06474132090806961,cross,ctrl
EuroSAT,17_attn_q,0.7594549655914307,corr,true
EuroSAT,17_attn_q,0.06628595292568207,corr,ctrl
EuroSAT,20_attn_o,0.8517938852310181,cross,true
EuroSAT,20_attn_o,0.08032587170600891,cross,ctrl
EuroSAT,20_attn_o,0.6741364598274231,corr,true
EuroSAT,20_attn_o,0.10833770036697388,corr,ctrl
EuroSAT,23_mlp_c_proj,0.7429654598236084,cross,true
EuroSAT,23_mlp_c_proj,0.019800307229161263,cross,ctrl
EuroSAT,23_mlp_c_proj,0.5148354172706604,corr,true
EuroSAT,23_mlp_c_proj,0.02523970417678356,corr,ctrl
