layer,shape,rm_qasc,rm_wiki_qa,rm_quartz,rm_paws,rm_story_cloze,rm_winogrande,rm_wsc,rm_SUM,am_qasc,am_wiki_qa,am_quartz,am_paws,am_story_cloze,am_winogrande,am_wsc,am_SUM
transformer.encoder.block.0.layer.0.SelfAttention.q.weight,768x768,1.5156e+06,8.0199e+05,1.9786e+06,1.3032e+06,inf,1.9868e+06,2.6843e+06,6.1440e+05,1.2706e+11,1.7481e+09,6.2969e+08,inf,6.5900e+08,2.7673e+09,8.7712e+09,1.1060e+04
transformer.encoder.block.0.layer.0.SelfAttention.k.weight,768x768,1.5156e+06,8.0199e+05,1.9786e+06,1.3032e+06,inf,1.9868e+06,2.6843e+06,6.1440e+05,2.6184e+09,inf,8.3196e+08,inf,1.7398e+10,1.4276e+09,1.4714e+08,2.5861e+03
transformer.encoder.block.0.layer.0.SelfAttention.v.weight,768x768,1.5156e+06,8.0199e+05,1.9786e+06,1.3032e+06,inf,1.9868e+06,2.6843e+06,6.1440e+05,2.1148e+10,inf,3.2636e+08,8.3997e+08,inf,1.2719e+09,5.3374e+09,6.5760e+04
transformer.encoder.block.0.layer.0.SelfAttention.o.weight,768x768,3.1192e+04,2.1611e+04,2.8652e+04,1.4594e+04,inf,4.1297e+04,5.8813e+04,1.3798e+04,2.3637e+10,inf,2.3886e+08,1.0768e+09,inf,8.5298e+09,3.4714e+10,1.5919e+04
transformer.encoder.block.0.layer.1.DenseReluDense.wi.weight,3072x768,8.0924e+04,5.7580e+04,9.3195e+04,7.4071e+04,inf,1.0835e+05,1.3494e+05,5.1404e+04,3.6048e+03,9.1472e+03,3.3689e+03,2.7407e+03,1.0465e+04,4.6130e+03,3.4414e+03,1.6522e+03
transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight,768x3072,8.1767e+02,4.0454e+02,6.2369e+02,4.3248e+02,5.3587e+22,1.1075e+03,9.5627e+02,4.0954e+02,5.9410e+03,5.8051e+04,1.2045e+03,2.2028e+03,1.5956e+04,9.4177e+03,1.4306e+04,9.7803e+02
transformer.encoder.block.1.layer.0.SelfAttention.q.weight,768x768,1.5002e+05,1.1759e+05,1.8853e+05,1.2462e+05,inf,2.0939e+05,1.9458e+05,6.2323e+04,inf,inf,2.9418e+08,inf,1.9403e+09,inf,4.0891e+08,9.8805e+03
transformer.encoder.block.1.layer.0.SelfAttention.k.weight,768x768,1.5002e+05,1.1759e+05,1.8853e+05,1.2462e+05,inf,2.0939e+05,1.9458e+05,6.2323e+04,2.8260e+09,inf,1.2471e+09,1.2453e+09,1.5031e+09,3.8664e+08,3.2616e+08,1.2227e+03
transformer.encoder.block.1.layer.0.SelfAttention.v.weight,768x768,1.5002e+05,1.1759e+05,1.8853e+05,1.2462e+05,inf,2.0939e+05,1.9458e+05,6.2323e+04,3.4818e+09,inf,2.9309e+09,inf,inf,8.5305e+08,1.2128e+09,3.7874e+04
transformer.encoder.block.1.layer.0.SelfAttention.o.weight,768x768,2.9054e+04,1.1833e+04,3.2628e+04,2.8705e+04,inf,3.3509e+04,4.3417e+04,1.0604e+04,inf,inf,1.0642e+10,1.0468e+09,inf,1.0998e+09,inf,1.1653e+04
