dataset,layer_name,layer_idx,angular_distance,type
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.2832026481628418,cross
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.21960397064685822,corr
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.03386146202683449,drift
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.3979025185108185,tot
Cars,model.visual.transformer.resblocks.0.attn.q,0,-0.10733632743358612,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.q,0,-0.0314292348921299,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.07137442380189896,cross
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.3779618740081787,corr
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.034313928335905075,drift
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.3770146071910858,tot
Cars,model.visual.transformer.resblocks.0.attn.k,1,-0.076091468334198,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.k,1,-0.030544143170118332,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.07816620171070099,cross
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.382449209690094,corr
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.033895041793584824,drift
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.3418053090572357,tot
Cars,model.visual.transformer.resblocks.0.attn.v,2,-0.12248799204826355,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.v,2,-0.030217166990041733,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.22120480239391327,cross
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.17476031184196472,corr
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.04749864339828491,drift
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.28526532649993896,tot
Cars,model.visual.transformer.resblocks.0.attn.o,3,-0.11076542735099792,$\delta_\text{gsc}$
