model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
Olmo-3-7b,Math,lm_head.weight,0,38147836.0,Math,38147836.0,1.0
Olmo-3-7b,Math,lm_head.weight,0,38147836.0,Code,7707194.5,4.949639716501251
Olmo-3-7b,Math,lm_head.weight,0,38147836.0,IF,75108664.0,0.507901937917575
Olmo-3-7b,Math,model.layers.0.mlp.down_proj.weight,1,15437.0029296875,Math,15437.0029296875,1.0
Olmo-3-7b,Math,model.layers.0.mlp.down_proj.weight,1,15437.0029296875,Code,7909.73291015625,1.9516465479973526
Olmo-3-7b,Math,model.layers.0.mlp.down_proj.weight,1,15437.0029296875,IF,6366.34765625,2.424781642977448
Olmo-3-7b,Math,model.layers.0.mlp.gate_proj.weight,2,243298.703125,Math,243298.703125,1.0
Olmo-3-7b,Math,model.layers.0.mlp.gate_proj.weight,2,243298.703125,Code,118163.2265625,2.059005243871808
Olmo-3-7b,Math,model.layers.0.mlp.gate_proj.weight,2,243298.703125,IF,87401.421875,2.7836927352619227
Olmo-3-7b,Math,model.layers.0.mlp.up_proj.weight,3,244320.109375,Math,244320.109375,1.0
Olmo-3-7b,Math,model.layers.0.mlp.up_proj.weight,3,244320.109375,Code,109296.375,2.2353907837748506
Olmo-3-7b,Math,model.layers.0.mlp.up_proj.weight,3,244320.109375,IF,86030.0546875,2.8399390220369027
Olmo-3-7b,Math,model.layers.0.self_attn.k_proj.weight,4,218881.40625,Math,218881.40625,1.0
Olmo-3-7b,Math,model.layers.0.self_attn.k_proj.weight,4,218881.40625,Code,21130.572265625,10.358517672806904
Olmo-3-7b,Math,model.layers.0.self_attn.k_proj.weight,4,218881.40625,IF,32525.412109375,6.729550589980395
Olmo-3-7b,Math,model.layers.0.self_attn.o_proj.weight,5,234287.09375,Math,234287.09375,1.0
Olmo-3-7b,Math,model.layers.0.self_attn.o_proj.weight,5,234287.09375,Code,133937.53125,1.7492266100731195
Olmo-3-7b,Math,model.layers.0.self_attn.o_proj.weight,5,234287.09375,IF,99917.171875,2.344813102227329
Olmo-3-7b,Math,model.layers.0.self_attn.q_proj.weight,6,415434.6875,Math,415434.6875,1.0
Olmo-3-7b,Math,model.layers.0.self_attn.q_proj.weight,6,415434.6875,Code,209610.390625,1.98193747104468
Olmo-3-7b,Math,model.layers.0.self_attn.q_proj.weight,6,415434.6875,IF,165799.0625,2.505651607650073
Olmo-3-7b,Math,model.layers.0.self_attn.v_proj.weight,7,53639.05859375,Math,53639.05859375,1.0
Olmo-3-7b,Math,model.layers.0.self_attn.v_proj.weight,7,53639.05859375,Code,25937.65625,2.067999439762411
Olmo-3-7b,Math,model.layers.0.self_attn.v_proj.weight,7,53639.05859375,IF,21390.49609375,2.507611714971986
Olmo-3-7b,Math,model.layers.1.mlp.down_proj.weight,8,19825.900390625,Math,19825.900390625,1.0
Olmo-3-7b,Math,model.layers.1.mlp.down_proj.weight,8,19825.900390625,Code,7734.30224609375,2.5633728499087525
Olmo-3-7b,Math,model.layers.1.mlp.down_proj.weight,8,19825.900390625,IF,8600.20703125,2.3052817587512657
Olmo-3-7b,Math,model.layers.1.mlp.gate_proj.weight,9,312767.5,Math,312767.5,1.0
Olmo-3-7b,Math,model.layers.1.mlp.gate_proj.weight,9,312767.5,Code,150149.8125,2.0830362342277318
Olmo-3-7b,Math,model.layers.1.mlp.gate_proj.weight,9,312767.5,IF,141420.671875,2.2116109042138574
Olmo-3-7b,Math,model.layers.1.mlp.up_proj.weight,10,256989.96875,Math,256989.96875,1.0
Olmo-3-7b,Math,model.layers.1.mlp.up_proj.weight,10,256989.96875,Code,116150.78125,2.2125548014770673
Olmo-3-7b,Math,model.layers.1.mlp.up_proj.weight,10,256989.96875,IF,132010.234375,1.9467427655644596
Olmo-3-7b,Math,model.layers.1.self_attn.k_proj.weight,11,678033.3125,Math,678033.3125,1.0
Olmo-3-7b,Math,model.layers.1.self_attn.k_proj.weight,11,678033.3125,Code,332251.40625,2.040723680157486
Olmo-3-7b,Math,model.layers.1.self_attn.k_proj.weight,11,678033.3125,IF,206807.75,3.278568199209169
Olmo-3-7b,Math,model.layers.1.self_attn.o_proj.weight,12,110354.3984375,Math,110354.3984375,1.0
Olmo-3-7b,Math,model.layers.1.self_attn.o_proj.weight,12,110354.3984375,Code,65696.53125,1.6797598950477313
Olmo-3-7b,Math,model.layers.1.self_attn.o_proj.weight,12,110354.3984375,IF,78311.1640625,1.409178368864832
Olmo-3-7b,Math,model.layers.1.self_attn.q_proj.weight,13,802179.0625,Math,802179.0625,1.0
Olmo-3-7b,Math,model.layers.1.self_attn.q_proj.weight,13,802179.0625,Code,417013.03125,1.9236306839032384
Olmo-3-7b,Math,model.layers.1.self_attn.q_proj.weight,13,802179.0625,IF,436740.25,1.8367417761472637
Olmo-3-7b,Math,model.layers.1.self_attn.v_proj.weight,14,316256.03125,Math,316256.03125,1.0
Olmo-3-7b,Math,model.layers.1.self_attn.v_proj.weight,14,316256.03125,Code,128941.90625,2.4527016890600684
Olmo-3-7b,Math,model.layers.1.self_attn.v_proj.weight,14,316256.03125,IF,172281.859375,1.8356896796755389
Olmo-3-7b,Math,model.layers.10.mlp.down_proj.weight,15,104679.3984375,Math,104679.3984375,1.0
