dataset,layer_name,layer_idx,angular_distance,type
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.4006188213825226,cross
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.22561562061309814,corr
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.20966193079948425,drift
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.4210721552371979,tot
Cars,model.visual.transformer.resblocks.0.attn.q,0,0.835896372795105,upper
Cars,model.visual.transformer.resblocks.0.attn.q,0,-0.2686638832092285,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.q,0,-0.1461603343486786,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.09723883122205734,cross
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.3770054578781128,corr
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.2095211297273636,drift
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.36690643429756165,tot
Cars,model.visual.transformer.resblocks.0.attn.k,1,0.6837654188275337,upper
Cars,model.visual.transformer.resblocks.0.attn.k,1,-0.13517147302627563,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.k,1,-0.18168751895427704,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.0712205022573471,cross
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.3820159137248993,corr
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.20963679254055023,drift
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.3691270053386688,tot
Cars,model.visual.transformer.resblocks.0.attn.v,2,0.6628732085227966,upper
Cars,model.visual.transformer.resblocks.0.attn.v,2,-0.11086827516555786,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.v,2,-0.18287791311740875,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.2978951334953308,cross
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.1934913992881775,corr
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.2623337209224701,drift
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.3816148638725281,tot
Cars,model.visual.transformer.resblocks.0.attn.o,3,0.7537202537059784,upper
Cars,model.visual.transformer.resblocks.0.attn.o,3,-0.22261816263198853,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.attn.o,3,-0.1494872272014618,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.1455465406179428,cross
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.1902196854352951,corr
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.054893288761377335,drift
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.20869490504264832,tot
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.39065951481461525,upper
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,-0.12513816356658936,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.mlp.c_fc,4,-0.05682644620537758,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.26129767298698425,cross
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.08668884634971619,corr
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.03262849152088165,drift
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.26402437686920166,tot
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.3806150108575821,upper
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,-0.08222202956676483,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.0.mlp.c_proj,5,-0.0343686044216156,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.1.attn.q,6,0.2048492580652237,cross
Cars,model.visual.transformer.resblocks.1.attn.q,6,0.14557607471942902,corr
Cars,model.visual.transformer.resblocks.1.attn.q,6,0.18166737258434296,drift
Cars,model.visual.transformer.resblocks.1.attn.q,6,0.2848236858844757,tot
Cars,model.visual.transformer.resblocks.1.attn.q,6,0.5320927053689957,upper
Cars,model.visual.transformer.resblocks.1.attn.q,6,-0.14682537317276,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.1.attn.q,6,-0.10044364631175995,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.1.attn.k,7,0.10994575917720795,cross
Cars,model.visual.transformer.resblocks.1.attn.k,7,0.20886816084384918,corr
Cars,model.visual.transformer.resblocks.1.attn.k,7,0.1817375123500824,drift
Cars,model.visual.transformer.resblocks.1.attn.k,7,0.29829657077789307,tot
Cars,model.visual.transformer.resblocks.1.attn.k,7,0.5005514323711395,upper
Cars,model.visual.transformer.resblocks.1.attn.k,7,-0.08098529279232025,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.1.attn.k,7,-0.12126956880092621,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.1.attn.v,8,0.1255979686975479,cross
