model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,Cars,4350382.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,DTD,2914728.25,1.4925516641216896
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,EuroSAT,5943925.0,0.7319040028264152
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,GTSRB,7664630.5,0.5675919406682423
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,MNIST,5875191.0,0.7404665652571976
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,4350382.5,SVHN,6133443.5,0.7092887543514503
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,Cars,302713.09375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,DTD,256348.734375,1.180864397431258
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,EuroSAT,343475.8125,0.881322884271509
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,GTSRB,439268.75,0.6891295903703598
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,MNIST,358278.6875,0.8449095754544429
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,302713.09375,SVHN,305833.59375,0.9897967389332945
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,Cars,2759876.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,DTD,2351071.0,1.1738803294328415
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,EuroSAT,3373915.5,0.8180038889533541
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,GTSRB,3436434.5,0.8031219567839865
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,MNIST,4349141.5,0.6345794911478507
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,2759876.0,SVHN,2015560.875,1.3692843685507639
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,Cars,405377.71875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,DTD,340814.46875,1.1894381134603753
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,EuroSAT,539339.75,0.7516184719372159
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,GTSRB,648658.4375,0.6249478852265758
