dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.0406876839697361,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.0538589283823967,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.006844117306172848,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.02135893702507019,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,-0.07430213689804077,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,-0.005729652009904385,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.07391190528869629,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.10938137024641037,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.035284072160720825,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.09805208444595337,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,-0.09409287571907043,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,-0.02643238753080368,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.052903223782777786,cross
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.0645449087023735,corr
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.06479071080684662,drift
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.10245852917432785,tot
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,-0.05079122260212898,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,-0.028989091515541077,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,0.12402377277612686,cross
