dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,0.16936424374580383,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,0.4358932375907898,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,0.3658733367919922,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,0.42523515224456787,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,-0.08674147725105286,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.q,0,-0.4591541886329651,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,0.39073774218559265,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,0.4358881711959839,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,0.3666791617870331,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,0.24424488842487335,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,-0.486081600189209,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.k,1,-0.4629786014556885,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.2063063681125641,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.4199584126472473,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.36634933948516846,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,0.29863473773002625,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,-0.2095114290714264,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.v,2,-0.4844679534435272,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.18387143313884735,cross
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.30142444372177124,corr
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.18929752707481384,drift
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,0.39049747586250305,tot
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,-0.06310342252254486,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.0.SelfAttention.o,3,-0.22099250555038452,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.19798490405082703,cross
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.3765721917152405,corr
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.34918996691703796,drift
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,0.35937729477882385,tot
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,-0.05896693468093872,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wi,4,-0.5054028034210205,$\delta_\text{ssc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,0.26804566383361816,cross
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,0.4177866578102112,corr
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,0.3902221918106079,drift
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,0.3083587884902954,tot
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,-0.23108023405075073,$\delta_\text{gsc}$
qasc,transformer.encoder.block.0.layer.1.DenseReluDense.wo,5,-0.5366154909133911,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,0.12089524418115616,cross
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,0.45497626066207886,corr
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,0.39120230078697205,drift
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,0.45051559805870056,tot
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,-0.045151352882385254,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.q,6,-0.47140684723854065,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,0.33799269795417786,cross
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,0.42966386675834656,corr
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,0.3914085030555725,drift
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,0.39776360988616943,tot
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,-0.22512343525886536,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.k,7,-0.5361779928207397,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,0.25397589802742004,cross
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,0.4367130994796753,corr
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,0.39090442657470703,drift
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,0.217793270945549,tot
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,-0.3594292402267456,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.v,8,-0.504370927810669,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,0.13124720752239227,cross
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,0.345510333776474,corr
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,0.26828888058662415,drift
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,0.38735273480415344,tot
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,-0.062446922063827515,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.0.SelfAttention.o,9,-0.29524675011634827,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.18033775687217712,cross
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.35109299421310425,corr
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.3022541105747223,drift
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.38478055596351624,tot
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,-0.04052820801734924,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,-0.4083760976791382,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.1473129689693451,cross
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.4637940526008606,corr
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.431789755821228,drift
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.3893060088157654,tot
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,-0.0881238579750061,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,-0.5654668807983398,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,0.11653876304626465,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,0.4547930359840393,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,0.39275550842285156,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,0.45400533080101013,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,-0.045145899057388306,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,-0.4649360775947571,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,0.237886443734169,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,0.4545007348060608,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,0.39348772168159485,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,0.41200101375579834,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,-0.2052120417356491,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,-0.4686618447303772,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,0.22555026412010193,cross
