dataset,layer_name,cosine_similarity,type
Cars,11_mlp_c_proj,0.9710333943367004,cross
Cars,11_mlp_c_proj,0.21728426218032837,corr
Cars,1_mlp_c_fc,0.9589671492576599,cross
Cars,1_mlp_c_fc,0.46658700704574585,corr
Cars,6_mlp_c_proj,0.9622611403465271,cross
Cars,6_mlp_c_proj,0.5659478306770325,corr
Cars,5_attn_q,0.8309869766235352,cross
Cars,5_attn_q,0.8285712599754333,corr
Cars,8_attn_o,0.9520087838172913,cross
Cars,8_attn_o,0.9116984009742737,corr
Cars,0_attn_q,0.24023735523223877,cross
Cars,0_attn_q,0.668239414691925,corr
Cars,3_attn_v,0.9909090399742126,cross
Cars,3_attn_v,0.5238274335861206,corr
Cars,10_attn_k,0.9072688221931458,cross
Cars,10_attn_k,0.6190477013587952,corr
DTD,1_mlp_c_fc,0.9695340394973755,cross
DTD,1_mlp_c_fc,0.46230649948120117,corr
DTD,8_attn_o,0.9317789673805237,cross
DTD,8_attn_o,0.9650384187698364,corr
DTD,11_mlp_c_proj,0.9748559594154358,cross
DTD,11_mlp_c_proj,0.3001271188259125,corr
DTD,6_mlp_c_proj,0.9407000541687012,cross
DTD,6_mlp_c_proj,0.7634812593460083,corr
DTD,10_attn_k,0.9069428443908691,cross
DTD,10_attn_k,0.8058660626411438,corr
DTD,0_attn_q,0.5908268690109253,cross
DTD,0_attn_q,0.6761240363121033,corr
DTD,3_attn_v,0.9848204255104065,cross
DTD,3_attn_v,0.5515710115432739,corr
DTD,5_attn_q,0.6798161268234253,cross
DTD,5_attn_q,0.716545820236206,corr
EuroSAT,6_mlp_c_proj,0.8071786761283875,cross
EuroSAT,6_mlp_c_proj,0.6663348078727722,corr
EuroSAT,3_attn_v,0.9243791103363037,cross
EuroSAT,3_attn_v,0.6606505513191223,corr
EuroSAT,0_attn_q,0.9018131494522095,cross
EuroSAT,0_attn_q,0.8402840495109558,corr
EuroSAT,8_attn_o,0.7055217623710632,cross
EuroSAT,8_attn_o,0.9639571309089661,corr
EuroSAT,5_attn_q,0.7575549483299255,cross
EuroSAT,5_attn_q,0.8581613302230835,corr
EuroSAT,11_mlp_c_proj,0.8610569834709167,cross
EuroSAT,11_mlp_c_proj,0.22500227391719818,corr
EuroSAT,1_mlp_c_fc,0.9468851089477539,cross
EuroSAT,1_mlp_c_fc,0.9049273133277893,corr
EuroSAT,10_attn_k,0.905553936958313,cross
EuroSAT,10_attn_k,0.7569087147712708,corr
GTSRB,8_attn_o,0.7941149473190308,cross
GTSRB,8_attn_o,0.6725091338157654,corr
GTSRB,10_attn_k,0.839246928691864,cross
GTSRB,10_attn_k,0.6208769083023071,corr
GTSRB,6_mlp_c_proj,0.9073222875595093,cross
GTSRB,6_mlp_c_proj,0.5990598201751709,corr
GTSRB,5_attn_q,0.8297969698905945,cross
GTSRB,5_attn_q,0.579392671585083,corr
GTSRB,11_mlp_c_proj,0.9550138115882874,cross
